Part Name,Assigned Material
G-RW0-6A0|Assem1^G-RW0-6A0|M-RW2-6A0|Cut-Extrude5,Stainless Steel
G-RW0-6A0|Assem1^G-RW0-6A0|G-RW1-6A0|Boss-Extrude3,Stainless Steel
G-RW0-6A0|Assem1^G-RW0-6A0|M-RW3-6A0|Fillet1,Stainless Steel
G-RW0-6A0|Assem1^G-RW0-6A0|M-RW3-6A0|Fillet1,Stainless Steel
G-RW0-6A0|Assem1^G-RW0-6A0|M-RW4-6A0|Fillet1,Stainless Steel
G-RW0-6A0|Assem1^G-RW0-6A0|M-RW3-6A0|Fillet1,Stainless Steel
G-RW0-6A0|Assem1^G-RW0-6A0|M-RW3-6A0|Fillet1,Stainless Steel
G-RW0-6A0|Assem1^G-RW0-6A0|M-RW2-6A0|Cut-Extrude5,Stainless Steel
G-RW0-6A0|Assem1^G-RW0-6A0|G-RW1-6A0|Boss-Extrude3,Stainless Steel
G-RW0-6A0|Assem1^G-RW0-6A0|M-RW3-6A0|Fillet1,Stainless Steel
G-RW0-6A0|Assem1^G-RW0-6A0|M-RW3-6A0|Fillet1,Stainless Steel
G-RW0-6A0|Assem1^G-RW0-6A0|M-RW4-6A0|Fillet1,Stainless Steel
G-RW0-6A0|Assem1^G-RW0-6A0|M-RW3-6A0|Fillet1,Stainless Steel
G-RW0-6A0|Assem1^G-RW0-6A0|M-RW3-6A0|Fillet1,Stainless Steel
G-RW0-6A0|Assem1^G-RW0-6A0|M-RW2-6A0|Cut-Extrude5,Stainless Steel
G-RW0-6A0|Assem1^G-RW0-6A0|G-RW1-6A0|Boss-Extrude3,Stainless Steel
G-RW0-6A0|Assem1^G-RW0-6A0|M-RW3-6A0|Fillet1,Stainless Steel
G-RW0-6A0|Assem1^G-RW0-6A0|M-RW3-6A0|Fillet1,Stainless Steel
G-RW0-6A0|Assem1^G-RW0-6A0|M-RW4-6A0|Fillet1,Stainless Steel
