s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s,kg/s
Time,HRR,HRR_OX,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_ENTH,Q_TOTAL,MLR_AIR,MLR_PROPANE,MLR_PRODUCTS
 2.1270384E+002, 6.1995806E+002, 0.0000000E+000,-1.6037237E+002,-4.2141932E+002,-3.2734829E+001,-3.0993988E-002, 0.0000000E+000, 0.0000000E+000, 8.7289512E+000, 5.4005538E+000, 0.0000000E+000, 1.4515205E-002, 0.0000000E+000
 2.1300629E+002, 6.0687844E+002, 0.0000000E+000,-1.5877982E+002,-4.1998500E+002,-3.1970348E+001,-3.0353619E-002, 0.0000000E+000, 0.0000000E+000,-5.9314825E+000,-3.8870824E+000, 0.0000000E+000, 1.4515205E-002, 0.0000000E+000
 2.1330164E+002, 6.1359348E+002, 0.0000000E+000,-1.6356104E+002,-4.4140370E+002,-2.9570532E+001,-3.1344888E-002, 0.0000000E+000, 0.0000000E+000,-2.2570105E+001,-2.0973128E+001, 0.0000000E+000, 1.4515205E-002, 0.0000000E+000
 2.1360320E+002, 6.5724761E+002, 0.0000000E+000,-1.7825686E+002,-4.2085496E+002,-3.0031079E+001,-3.1587482E-002, 0.0000000E+000, 0.0000000E+000, 2.9243319E+001, 2.8073123E+001, 0.0000000E+000, 1.4515205E-002, 0.0000000E+000
 2.1390636E+002, 5.7301913E+002, 0.0000000E+000,-1.4666402E+002,-4.1566455E+002,-3.2035823E+001,-2.9716907E-002, 0.0000000E+000, 0.0000000E+000,-2.0396379E+001,-2.1374981E+001, 0.0000000E+000, 1.4515205E-002, 0.0000000E+000
 2.1420668E+002, 5.9065448E+002, 0.0000000E+000,-1.5994507E+002,-4.4006489E+002,-3.0891694E+001,-3.0711731E-002, 0.0000000E+000, 0.0000000E+000,-4.0803519E+001,-4.0277885E+001, 0.0000000E+000, 1.4515205E-002, 0.0000000E+000
 2.1450000E+002, 7.1553952E+002, 0.0000000E+000,-1.8360749E+002,-4.4189103E+002,-3.0000618E+001,-3.0786644E-002, 0.0000000E+000, 0.0000000E+000, 5.6238300E+001, 6.0009594E+001, 0.0000000E+000, 1.4515205E-002, 0.0000000E+000
 2.1480130E+002, 5.8916731E+002, 0.0000000E+000,-1.5446091E+002,-3.9800354E+002,-3.0162490E+001,-3.0732283E-002, 0.0000000E+000, 0.0000000E+000, 8.5374971E+000, 6.5096363E+000, 0.0000000E+000, 1.4515205E-002, 0.0000000E+000
 2.1510400E+002, 6.2739467E+002, 0.0000000E+000,-1.7196894E+002,-3.8369100E+002,-3.2408262E+001,-3.1357729E-002, 0.0000000E+000, 0.0000000E+000, 3.8426076E+001, 3.9295106E+001, 0.0000000E+000, 1.4515205E-002, 0.0000000E+000
 2.1540613E+002, 5.8511768E+002, 0.0000000E+000,-1.5869843E+002,-4.3200732E+002,-3.3111763E+001,-2.9193100E-002, 0.0000000E+000, 0.0000000E+000,-3.6429753E+001,-3.8729031E+001, 0.0000000E+000, 1.4515205E-002, 0.0000000E+000
 2.1570499E+002, 6.1489063E+002, 0.0000000E+000,-1.6437061E+002,-4.5378647E+002,-3.1984003E+001,-3.0203503E-002, 0.0000000E+000, 0.0000000E+000,-4.0514690E+001,-3.5280661E+001, 0.0000000E+000, 1.4515205E-002, 0.0000000E+000
 2.1600558E+002, 6.9116162E+002, 0.0000000E+000,-1.9496797E+002,-4.2167519E+002,-2.7933065E+001,-3.0754332E-002, 0.0000000E+000, 0.0000000E+000, 4.7478061E+001, 4.6554637E+001, 0.0000000E+000, 1.4515205E-002, 0.0000000E+000
 2.1630493E+002, 5.5189460E+002, 0.0000000E+000,-1.4125465E+002,-3.9196189E+002,-2.8547558E+001,-2.9968430E-002, 0.0000000E+000, 0.0000000E+000,-9.9409059E+000,-9.8994688E+000, 0.0000000E+000, 1.4515205E-002, 0.0000000E+000
 2.1660248E+002, 6.5506972E+002, 0.0000000E+000,-1.7655718E+002,-3.9778629E+002,-2.9333563E+001,-3.0269843E-002, 0.0000000E+000, 0.0000000E+000, 5.0609593E+001, 5.1362420E+001, 0.0000000E+000, 1.4515205E-002, 0.0000000E+000
