s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s,kg/s
Time,HRR,HRR_OX,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_ENTH,Q_TOTAL,MLR_AIR,MLR_PROPANE,MLR_PRODUCTS
 1.0503767E+001, 1.0664226E+002, 0.0000000E+000,-2.7988603E+001,-2.7013709E+001,-5.6098750E+000,-6.9852909E-003, 0.0000000E+000, 0.0000000E+000, 4.6109757E+001, 4.6023091E+001, 0.0000000E+000, 2.5063346E-003, 0.0000000E+000
 1.0807708E+001, 1.0940931E+002, 0.0000000E+000,-2.7930265E+001,-3.1467633E+001,-5.7998542E+000,-7.1890486E-003, 0.0000000E+000, 0.0000000E+000, 4.3996914E+001, 4.4204372E+001, 0.0000000E+000, 2.5799809E-003, 0.0000000E+000
 1.1100530E+001, 1.1449257E+002, 0.0000000E+000,-3.0186294E+001,-2.7247666E+001,-6.0761568E+000,-7.3682050E-003, 0.0000000E+000, 0.0000000E+000, 5.0947291E+001, 5.0975088E+001, 0.0000000E+000, 2.6517758E-003, 0.0000000E+000
 1.1403955E+001, 1.1687028E+002, 0.0000000E+000,-3.1354451E+001,-3.4336658E+001,-6.3083857E+000,-7.5682532E-003, 0.0000000E+000, 0.0000000E+000, 4.5110987E+001, 4.4863219E+001, 0.0000000E+000, 2.7234185E-003, 0.0000000E+000
 1.1704266E+001, 1.1714821E+002, 0.0000000E+000,-3.0405255E+001,-3.8863869E+001,-6.4228012E+000,-7.8114726E-003, 0.0000000E+000, 0.0000000E+000, 4.1125834E+001, 4.1448469E+001, 0.0000000E+000, 2.7968228E-003, 0.0000000E+000
 1.2005581E+001, 1.2398305E+002, 0.0000000E+000,-3.2591780E+001,-3.8696854E+001,-6.4435464E+000,-8.0294768E-003, 0.0000000E+000, 0.0000000E+000, 4.6264237E+001, 4.6242844E+001, 0.0000000E+000, 2.8682045E-003, 0.0000000E+000
 1.2306896E+001, 1.2552810E+002, 0.0000000E+000,-3.2645799E+001,-4.5221508E+001,-6.5980514E+000,-8.1266415E-003, 0.0000000E+000, 0.0000000E+000, 4.1021878E+001, 4.1054614E+001, 0.0000000E+000, 2.9425224E-003, 0.0000000E+000
 1.2603099E+001, 1.2771424E+002, 0.0000000E+000,-3.1223743E+001,-4.2404467E+001,-7.0279844E+000,-8.3084652E-003, 0.0000000E+000, 0.0000000E+000, 4.6767911E+001, 4.7049735E+001, 0.0000000E+000, 3.0154722E-003, 0.0000000E+000
 1.2908884E+001, 1.3110835E+002, 0.0000000E+000,-3.4158846E+001,-5.0500452E+001,-7.2925690E+000,-8.4632929E-003, 0.0000000E+000, 0.0000000E+000, 3.9452013E+001, 3.9148022E+001, 0.0000000E+000, 3.0872725E-003, 0.0000000E+000
 1.3206437E+001, 1.3608662E+002, 0.0000000E+000,-3.6218599E+001,-5.7075977E+001,-7.0963606E+000,-8.6520619E-003, 0.0000000E+000, 0.0000000E+000, 3.5307866E+001, 3.5687026E+001, 0.0000000E+000, 3.1609298E-003, 0.0000000E+000
 1.3502610E+001, 1.3866931E+002, 0.0000000E+000,-3.4713711E+001,-5.0167781E+001,-7.1307263E+000,-8.8108954E-003, 0.0000000E+000, 0.0000000E+000, 4.6577649E+001, 4.6648285E+001, 0.0000000E+000, 3.2321510E-003, 0.0000000E+000
 1.3812365E+001, 1.4111641E+002, 0.0000000E+000,-3.7166312E+001,-6.0251457E+001,-7.3191842E+000,-8.9338955E-003, 0.0000000E+000, 0.0000000E+000, 3.6454973E+001, 3.6370521E+001, 0.0000000E+000, 3.3056918E-003, 0.0000000E+000
 1.4111907E+001, 1.4466183E+002, 0.0000000E+000,-3.8280702E+001,-7.0454746E+001,-7.6315842E+000,-9.2355085E-003, 0.0000000E+000, 0.0000000E+000, 2.8119225E+001, 2.8285561E+001, 0.0000000E+000, 3.3790188E-003, 0.0000000E+000
 1.4405751E+001, 1.4583404E+002, 0.0000000E+000,-3.8172651E+001,-7.9435061E+001,-7.3805445E+000,-9.4766491E-003, 0.0000000E+000, 0.0000000E+000, 2.1087087E+001, 2.0836304E+001, 0.0000000E+000, 3.4509733E-003, 0.0000000E+000
 1.4709603E+001, 1.4588798E+002, 0.0000000E+000,-3.9409034E+001,-7.5599327E+001,-7.8451800E+000,-9.5473661E-003, 0.0000000E+000, 0.0000000E+000, 2.2659036E+001, 2.3024892E+001, 0.0000000E+000, 3.5223375E-003, 0.0000000E+000
 1.5005157E+001, 1.5740821E+002, 0.0000000E+000,-4.0591855E+001,-7.9655900E+001,-8.2185465E+000,-9.8621734E-003, 0.0000000E+000, 0.0000000E+000, 2.9058249E+001, 2.8932043E+001, 0.0000000E+000, 3.5965453E-003, 0.0000000E+000
 1.5308126E+001, 1.5738876E+002, 0.0000000E+000,-4.1073889E+001,-8.9993407E+001,-8.6713468E+000,-1.0025642E-002, 0.0000000E+000, 0.0000000E+000, 1.7548146E+001, 1.7640092E+001, 0.0000000E+000, 3.6678807E-003, 0.0000000E+000
 1.5602568E+001, 1.5775737E+002, 0.0000000E+000,-4.2229071E+001,-9.0512415E+001,-9.1207908E+000,-1.0148596E-002, 0.0000000E+000, 0.0000000E+000, 1.6376974E+001, 1.5884941E+001, 0.0000000E+000, 3.7404013E-003, 0.0000000E+000
 1.5907914E+001, 1.6013469E+002, 0.0000000E+000,-4.1427285E+001,-1.0123561E+002,-9.3290297E+000,-1.0257975E-002, 0.0000000E+000, 0.0000000E+000, 7.6272287E+000, 8.1325048E+000, 0.0000000E+000, 3.8126780E-003, 0.0000000E+000
 1.6208126E+001, 1.7334314E+002, 0.0000000E+000,-4.4865606E+001,-9.5791028E+001,-9.5680032E+000,-1.0636813E-002, 0.0000000E+000, 0.0000000E+000, 2.2922150E+001, 2.3107862E+001, 0.0000000E+000, 3.8860601E-003, 0.0000000E+000
 1.6508783E+001, 1.6152181E+002, 0.0000000E+000,-4.2455152E+001,-9.9690254E+001,-9.5795283E+000,-1.0520262E-002, 0.0000000E+000, 0.0000000E+000, 1.0060555E+001, 9.7863513E+000, 0.0000000E+000, 3.9588334E-003, 0.0000000E+000
 1.6804029E+001, 1.7281166E+002, 0.0000000E+000,-4.3842672E+001,-9.1912436E+001,-9.6837629E+000,-1.0870914E-002, 0.0000000E+000, 0.0000000E+000, 2.5743411E+001, 2.7361919E+001, 0.0000000E+000, 4.0318038E-003, 0.0000000E+000
 1.7109819E+001, 1.8653560E+002, 0.0000000E+000,-4.7442357E+001,-8.3789627E+001,-9.4483834E+000,-1.1148838E-002, 0.0000000E+000, 0.0000000E+000, 4.6682920E+001, 4.5844081E+001, 0.0000000E+000, 4.1042244E-003, 0.0000000E+000
 1.7407530E+001, 1.6778408E+002, 0.0000000E+000,-4.4986389E+001,-9.5920667E+001,-9.4652552E+000,-1.1207760E-002, 0.0000000E+000, 0.0000000E+000, 1.7758466E+001, 1.7400560E+001, 0.0000000E+000, 4.1766159E-003, 0.0000000E+000
 1.7706236E+001, 1.8136852E+002, 0.0000000E+000,-4.9435119E+001,-9.9308008E+001,-9.9679980E+000,-1.1465041E-002, 0.0000000E+000, 0.0000000E+000, 2.1467105E+001, 2.2645926E+001, 0.0000000E+000, 4.2482852E-003, 0.0000000E+000
 1.8003939E+001, 1.9761516E+002, 0.0000000E+000,-5.2321720E+001,-9.9062200E+001,-9.6867336E+000,-1.1609801E-002, 0.0000000E+000, 0.0000000E+000, 3.7067805E+001, 3.6532894E+001, 0.0000000E+000, 4.3201953E-003, 0.0000000E+000
 1.8307253E+001, 1.7993197E+002, 0.0000000E+000,-4.5057153E+001,-1.0220556E+002,-1.0204621E+001,-1.1878299E-002, 0.0000000E+000, 0.0000000E+000, 2.2107904E+001, 2.2452753E+001, 0.0000000E+000, 4.3934022E-003, 0.0000000E+000
 1.8605528E+001, 1.9303877E+002, 0.0000000E+000,-5.1168826E+001,-1.1077303E+002,-1.0395063E+001,-1.1855336E-002, 0.0000000E+000, 0.0000000E+000, 2.0783832E+001, 2.0690000E+001, 0.0000000E+000, 4.4667432E-003, 0.0000000E+000
 1.8904568E+001, 1.7895944E+002, 0.0000000E+000,-4.4886752E+001,-1.0567083E+002,-9.6425644E+000,-1.1884841E-002, 0.0000000E+000, 0.0000000E+000, 1.8751915E+001, 1.8747405E+001, 0.0000000E+000, 4.5384041E-003, 0.0000000E+000
 1.9210827E+001, 1.9785692E+002, 0.0000000E+000,-5.2290474E+001,-9.5809007E+001,-1.0046675E+001,-1.2168245E-002, 0.0000000E+000, 0.0000000E+000, 3.9136363E+001, 3.9698591E+001, 0.0000000E+000, 4.6115344E-003, 0.0000000E+000
 1.9510536E+001, 2.0650306E+002, 0.0000000E+000,-5.6059872E+001,-1.1076287E+002,-1.0860963E+001,-1.2429546E-002, 0.0000000E+000, 0.0000000E+000, 2.9392184E+001, 2.8806927E+001, 0.0000000E+000, 4.6850223E-003, 0.0000000E+000
 1.9805746E+001, 2.0583318E+002, 0.0000000E+000,-5.1983297E+001,-1.1704557E+002,-1.1366795E+001,-1.2596002E-002, 0.0000000E+000, 0.0000000E+000, 2.4864201E+001, 2.5424919E+001, 0.0000000E+000, 4.7562564E-003, 0.0000000E+000
 2.0107317E+001, 2.1631471E+002, 0.0000000E+000,-5.8288090E+001,-1.1993644E+002,-1.1762010E+001,-1.2883793E-002, 0.0000000E+000, 0.0000000E+000, 2.6435535E+001, 2.6315284E+001, 0.0000000E+000, 4.8290575E-003, 0.0000000E+000
 2.0405308E+001, 2.0880935E+002, 0.0000000E+000,-5.5023149E+001,-1.3222515E+002,-1.1646552E+001,-1.3212005E-002, 0.0000000E+000, 0.0000000E+000, 1.0174426E+001, 9.9012892E+000, 0.0000000E+000, 4.9014090E-003, 0.0000000E+000
 2.0710318E+001, 2.1128122E+002, 0.0000000E+000,-5.4521634E+001,-1.3441014E+002,-1.1585229E+001,-1.3274096E-002, 0.0000000E+000, 0.0000000E+000, 1.0666370E+001, 1.0750946E+001, 0.0000000E+000, 4.9740591E-003, 0.0000000E+000
 2.1011993E+001, 2.1853310E+002, 0.0000000E+000,-5.5487019E+001,-1.3539442E+002,-1.1427995E+001,-1.3557437E-002, 0.0000000E+000, 0.0000000E+000, 1.5328565E+001, 1.6210113E+001, 0.0000000E+000, 5.0480717E-003, 0.0000000E+000
 2.1300301E+001, 2.1292834E+002, 0.0000000E+000,-5.4851003E+001,-1.3249539E+002,-1.1354251E+001,-1.3574568E-002, 0.0000000E+000, 0.0000000E+000, 1.5381114E+001, 1.4214122E+001, 0.0000000E+000, 5.1193932E-003, 0.0000000E+000
 2.1601250E+001, 2.2199557E+002, 0.0000000E+000,-6.0812742E+001,-1.3782685E+002,-1.1155361E+001,-1.3688505E-002, 0.0000000E+000, 0.0000000E+000, 1.0818285E+001, 1.2186925E+001, 0.0000000E+000, 5.1908512E-003, 0.0000000E+000
 2.1908930E+001, 2.2709146E+002, 0.0000000E+000,-5.6850037E+001,-1.3187953E+002,-1.0853866E+001,-1.3851071E-002, 0.0000000E+000, 0.0000000E+000, 2.8127211E+001, 2.7494170E+001, 0.0000000E+000, 5.2647247E-003, 0.0000000E+000
 2.2202892E+001, 2.2590993E+002, 0.0000000E+000,-5.9558639E+001,-1.4324106E+002,-1.0866135E+001,-1.4076212E-002, 0.0000000E+000, 0.0000000E+000, 1.2271330E+001, 1.2230021E+001, 0.0000000E+000, 5.3376283E-003, 0.0000000E+000
 2.2504358E+001, 2.0776500E+002, 0.0000000E+000,-5.4279337E+001,-1.2449846E+002,-1.1177367E+001,-1.3975540E-002, 0.0000000E+000, 0.0000000E+000, 1.7143341E+001, 1.7795863E+001, 0.0000000E+000, 5.4087516E-003, 0.0000000E+000
 2.2805969E+001, 2.5908711E+002, 0.0000000E+000,-6.9174787E+001,-1.2046381E+002,-1.2013213E+001,-1.4385423E-002, 0.0000000E+000, 0.0000000E+000, 5.6863653E+001, 5.7420919E+001, 0.0000000E+000, 5.4820819E-003, 0.0000000E+000
 2.3107578E+001, 2.3667496E+002, 0.0000000E+000,-6.0716317E+001,-1.4687670E+002,-1.2434970E+001,-1.4675898E-002, 0.0000000E+000, 0.0000000E+000, 1.6993848E+001, 1.6632297E+001, 0.0000000E+000, 5.5551764E-003, 0.0000000E+000
 2.3403126E+001, 2.4562258E+002, 0.0000000E+000,-6.3066023E+001,-1.4270875E+002,-1.2787268E+001,-1.4784226E-002, 0.0000000E+000, 0.0000000E+000, 2.6896489E+001, 2.7045755E+001, 0.0000000E+000, 5.6274312E-003, 0.0000000E+000
 2.3701363E+001, 2.5075522E+002, 0.0000000E+000,-6.6842790E+001,-1.5355104E+002,-1.2949196E+001,-1.5008049E-002, 0.0000000E+000, 0.0000000E+000, 1.7856145E+001, 1.7397187E+001, 0.0000000E+000, 5.6989002E-003, 0.0000000E+000
 2.4001642E+001, 2.1841750E+002, 0.0000000E+000,-5.6806603E+001,-1.6450537E+002,-1.3416396E+001,-1.4476608E-002, 0.0000000E+000, 0.0000000E+000,-1.5846465E+001,-1.6325350E+001, 0.0000000E+000, 5.7716045E-003, 0.0000000E+000
 2.4302330E+001, 2.6578546E+002, 0.0000000E+000,-7.0297681E+001,-1.6836687E+002,-1.3457464E+001,-1.5078765E-002, 0.0000000E+000, 0.0000000E+000, 1.2655966E+001, 1.3648363E+001, 0.0000000E+000, 5.8440089E-003, 0.0000000E+000
 2.4600109E+001, 2.5392161E+002, 0.0000000E+000,-6.7996402E+001,-1.7185006E+002,-1.4093601E+001,-1.5431190E-002, 0.0000000E+000, 0.0000000E+000, 5.3981000E-001,-3.3886977E-002, 0.0000000E+000, 5.9166246E-003, 0.0000000E+000
 2.4903307E+001, 2.5826411E+002, 0.0000000E+000,-6.5596869E+001,-1.7154423E+002,-1.4506789E+001,-1.5631178E-002, 0.0000000E+000, 0.0000000E+000, 6.4705191E+000, 6.6005861E+000, 0.0000000E+000, 5.9894553E-003, 0.0000000E+000
 2.5202784E+001, 2.6564291E+002, 0.0000000E+000,-6.8286637E+001,-1.5853099E+002,-1.4720185E+001,-1.5964171E-002, 0.0000000E+000, 0.0000000E+000, 2.3450554E+001, 2.4089131E+001, 0.0000000E+000, 6.0623628E-003, 0.0000000E+000
 2.5505829E+001, 2.4103359E+002, 0.0000000E+000,-6.3445977E+001,-1.4223756E+002,-1.3953258E+001,-1.5720078E-002, 0.0000000E+000, 0.0000000E+000, 2.1550423E+001, 2.1381075E+001, 0.0000000E+000, 6.1347812E-003, 0.0000000E+000
 2.5802031E+001, 2.5148991E+002, 0.0000000E+000,-6.3886984E+001,-1.4273074E+002,-1.4142258E+001,-1.5285598E-002, 0.0000000E+000, 0.0000000E+000, 3.0282215E+001, 3.0714642E+001, 0.0000000E+000, 6.2072862E-003, 0.0000000E+000
 2.6105272E+001, 2.8616894E+002, 0.0000000E+000,-7.7693344E+001,-1.6818271E+002,-1.4158885E+001,-1.5823305E-002, 0.0000000E+000, 0.0000000E+000, 2.5700323E+001, 2.6118186E+001, 0.0000000E+000, 6.2801425E-003, 0.0000000E+000
 2.6405476E+001, 2.6651632E+002, 0.0000000E+000,-6.9855683E+001,-1.6718890E+002,-1.3802616E+001,-1.6078607E-002, 0.0000000E+000, 0.0000000E+000, 1.6950458E+001, 1.5653042E+001, 0.0000000E+000, 6.3528371E-003, 0.0000000E+000
 2.6700415E+001, 2.7342891E+002, 0.0000000E+000,-7.4866780E+001,-1.5408212E+002,-1.3435697E+001,-1.6308823E-002, 0.0000000E+000, 0.0000000E+000, 2.9843139E+001, 3.1028004E+001, 0.0000000E+000, 6.4246277E-003, 0.0000000E+000
 2.7005894E+001, 2.9326374E+002, 0.0000000E+000,-7.3704996E+001,-1.5708321E+002,-1.4802567E+001,-1.6651819E-002, 0.0000000E+000, 0.0000000E+000, 4.7394725E+001, 4.7656314E+001, 0.0000000E+000, 6.4972145E-003, 0.0000000E+000
 2.7309050E+001, 2.8288340E+002, 0.0000000E+000,-7.4102255E+001,-1.7123219E+002,-1.5190868E+001,-1.6697388E-002, 0.0000000E+000, 0.0000000E+000, 2.2804874E+001, 2.2341384E+001, 0.0000000E+000, 6.5710121E-003, 0.0000000E+000
 2.7606813E+001, 2.6720164E+002, 0.0000000E+000,-7.2463409E+001,-1.6792339E+002,-1.5084907E+001,-1.6952343E-002, 0.0000000E+000, 0.0000000E+000, 1.2237999E+001, 1.1712979E+001, 0.0000000E+000, 6.6434643E-003, 0.0000000E+000
 2.7908247E+001, 2.8165226E+002, 0.0000000E+000,-7.3921698E+001,-1.8613662E+002,-1.6426615E+001,-1.6963440E-002, 0.0000000E+000, 0.0000000E+000, 4.9846224E+000, 5.1503610E+000, 0.0000000E+000, 6.7159912E-003, 0.0000000E+000
 2.8209017E+001, 2.8418278E+002, 0.0000000E+000,-7.1175754E+001,-2.0632310E+002,-1.5875462E+001,-1.6724917E-002, 0.0000000E+000, 0.0000000E+000,-9.0705634E+000,-9.2082588E+000, 0.0000000E+000, 6.7888744E-003, 0.0000000E+000
 2.8506123E+001, 3.0269929E+002, 0.0000000E+000,-8.1143311E+001,-1.7923810E+002,-1.5864725E+001,-1.7149772E-002, 0.0000000E+000, 0.0000000E+000, 2.4033255E+001, 2.6435997E+001, 0.0000000E+000, 6.8613429E-003, 0.0000000E+000
 2.8804850E+001, 3.0102976E+002, 0.0000000E+000,-7.7962956E+001,-1.6902877E+002,-1.6025363E+001,-1.7588689E-002, 0.0000000E+000, 0.0000000E+000, 3.8691157E+001, 3.7995083E+001, 0.0000000E+000, 6.9329769E-003, 0.0000000E+000
 2.9107971E+001, 3.1038906E+002, 0.0000000E+000,-7.8459955E+001,-1.8479885E+002,-1.7392363E+001,-1.7578332E-002, 0.0000000E+000, 0.0000000E+000, 2.9822984E+001, 2.9720309E+001, 0.0000000E+000, 7.0063377E-003, 0.0000000E+000
 2.9404783E+001, 2.8538759E+002, 0.0000000E+000,-7.6952155E+001,-2.0875890E+002,-1.7143703E+001,-1.7285271E-002, 0.0000000E+000, 0.0000000E+000,-1.6674584E+001,-1.7484452E+001, 0.0000000E+000, 7.0791262E-003, 0.0000000E+000
 2.9702461E+001, 3.1735247E+002, 0.0000000E+000,-8.5999945E+001,-2.0048551E+002,-1.5236960E+001,-1.7786675E-002, 0.0000000E+000, 0.0000000E+000, 1.4964413E+001, 1.5612277E+001, 0.0000000E+000, 7.1506604E-003, 0.0000000E+000
 3.0005497E+001, 2.9706655E+002, 0.0000000E+000,-7.5375894E+001,-1.7322564E+002,-1.5685176E+001,-1.7824411E-002, 0.0000000E+000, 0.0000000E+000, 3.1758218E+001, 3.2762014E+001, 0.0000000E+000, 7.2235870E-003, 0.0000000E+000
 3.0307978E+001, 3.1128802E+002, 0.0000000E+000,-8.3882467E+001,-1.8537279E+002,-1.6019044E+001,-1.8036910E-002, 0.0000000E+000, 0.0000000E+000, 2.6688881E+001, 2.5995683E+001, 0.0000000E+000, 7.2965361E-003, 0.0000000E+000
 3.0608595E+001, 3.0826168E+002, 0.0000000E+000,-8.0160673E+001,-2.0028452E+002,-1.7141606E+001,-1.8359546E-002, 0.0000000E+000, 0.0000000E+000, 1.0772086E+001, 1.0656524E+001, 0.0000000E+000, 7.3697365E-003, 0.0000000E+000
 3.0901987E+001, 3.2118054E+002, 0.0000000E+000,-8.6540049E+001,-1.9449668E+002,-1.7923707E+001,-1.8606952E-002, 0.0000000E+000, 0.0000000E+000, 2.2020671E+001, 2.2201502E+001, 0.0000000E+000, 7.4414468E-003, 0.0000000E+000
 3.1207100E+001, 3.1539128E+002, 0.0000000E+000,-8.0169971E+001,-2.0759469E+002,-1.8135985E+001,-1.8273849E-002, 0.0000000E+000, 0.0000000E+000, 9.3915315E+000, 9.4723643E+000, 0.0000000E+000, 7.5135597E-003, 0.0000000E+000
 3.1501694E+001, 3.4601551E+002, 0.0000000E+000,-9.1635837E+001,-2.1601329E+002,-1.7932476E+001,-1.8741444E-002, 0.0000000E+000, 0.0000000E+000, 2.0562096E+001, 2.0415167E+001, 0.0000000E+000, 7.5864958E-003, 0.0000000E+000
 3.1806679E+001, 3.1103675E+002, 0.0000000E+000,-8.1251880E+001,-1.9328835E+002,-1.7473222E+001,-1.8721317E-002, 0.0000000E+000, 0.0000000E+000, 1.9290191E+001, 1.9004579E+001, 0.0000000E+000, 7.6586748E-003, 0.0000000E+000
 3.2107697E+001, 3.2876083E+002, 0.0000000E+000,-8.7119871E+001,-2.0817973E+002,-1.8234093E+001,-1.8810335E-002, 0.0000000E+000, 0.0000000E+000, 1.5360020E+001, 1.5208331E+001, 0.0000000E+000, 7.7322807E-003, 0.0000000E+000
 3.2402153E+001, 3.3742422E+002, 0.0000000E+000,-8.6266552E+001,-2.3078962E+002,-1.9171188E+001,-1.8973375E-002, 0.0000000E+000, 0.0000000E+000, 9.6493346E-001, 1.1778881E+000, 0.0000000E+000, 7.8038822E-003, 0.0000000E+000
 3.2704460E+001, 3.3604565E+002, 0.0000000E+000,-9.0755858E+001,-2.1185302E+002,-1.8989867E+001,-1.8764120E-002, 0.0000000E+000, 0.0000000E+000, 1.4153727E+001, 1.4428148E+001, 0.0000000E+000, 7.8763903E-003, 0.0000000E+000
 3.3008175E+001, 3.6021960E+002, 0.0000000E+000,-9.3170424E+001,-2.0939833E+002,-1.9581952E+001,-1.9183522E-002, 0.0000000E+000, 0.0000000E+000, 3.7959115E+001, 3.8049709E+001, 0.0000000E+000, 7.9499343E-003, 0.0000000E+000
 3.3306179E+001, 3.6231301E+002, 0.0000000E+000,-9.6154595E+001,-2.3171629E+002,-1.9197616E+001,-1.9847648E-002, 0.0000000E+000, 0.0000000E+000, 1.6011165E+001, 1.5224665E+001, 0.0000000E+000, 8.0226827E-003, 0.0000000E+000
 3.3603386E+001, 3.0680829E+002, 0.0000000E+000,-7.8760524E+001,-2.1868074E+002,-1.7045128E+001,-1.9341014E-002, 0.0000000E+000, 0.0000000E+000,-8.3442898E+000,-7.6974446E+000, 0.0000000E+000, 8.0943540E-003, 0.0000000E+000
 3.3904922E+001, 3.6089128E+002, 0.0000000E+000,-9.1782642E+001,-2.2109623E+002,-1.7656809E+001,-1.9846675E-002, 0.0000000E+000, 0.0000000E+000, 2.9951762E+001, 3.0335744E+001, 0.0000000E+000, 8.1676836E-003, 0.0000000E+000
 3.4205578E+001, 3.5237552E+002, 0.0000000E+000,-9.2177015E+001,-2.2278885E+002,-1.5974689E+001,-1.9831240E-002, 0.0000000E+000, 0.0000000E+000, 2.0697401E+001, 2.1415139E+001, 0.0000000E+000, 8.2395935E-003, 0.0000000E+000
 3.4501038E+001, 3.6746125E+002, 0.0000000E+000,-9.9165423E+001,-1.9437124E+002,-1.6532675E+001,-2.0211791E-002, 0.0000000E+000, 0.0000000E+000, 5.7866962E+001, 5.7371698E+001, 0.0000000E+000, 8.3116524E-003, 0.0000000E+000
 3.4806656E+001, 3.5965779E+002, 0.0000000E+000,-9.5159347E+001,-2.1186567E+002,-1.8830002E+001,-2.0912437E-002, 0.0000000E+000, 0.0000000E+000, 3.3954525E+001, 3.3781864E+001, 0.0000000E+000, 8.3844206E-003, 0.0000000E+000
 3.5104664E+001, 3.5741303E+002, 0.0000000E+000,-8.8439042E+001,-2.5890924E+002,-2.0303082E+001,-2.0486835E-002, 0.0000000E+000, 0.0000000E+000,-9.1857269E+000,-1.0258819E+001, 0.0000000E+000, 8.4574776E-003, 0.0000000E+000
 3.5401367E+001, 3.6353788E+002, 0.0000000E+000,-1.0253685E+002,-2.3654742E+002,-1.8765286E+001,-2.1021798E-002, 0.0000000E+000, 0.0000000E+000, 3.0960059E+000, 5.6673009E+000, 0.0000000E+000, 8.5300134E-003, 0.0000000E+000
 3.5707191E+001, 3.5344563E+002, 0.0000000E+000,-9.5000974E+001,-2.2207726E+002,-1.7872603E+001,-2.0709556E-002, 0.0000000E+000, 0.0000000E+000, 2.0147173E+001, 1.8474087E+001, 0.0000000E+000, 8.6021358E-003, 0.0000000E+000
 3.6006641E+001, 3.5917754E+002, 0.0000000E+000,-9.5751618E+001,-2.4251090E+002,-1.9328952E+001,-2.0901905E-002, 0.0000000E+000, 0.0000000E+000,-3.2736564E-001, 1.5651657E+000, 0.0000000E+000, 8.6754501E-003, 0.0000000E+000
 3.6303516E+001, 3.8075873E+002, 0.0000000E+000,-9.6155288E+001,-2.4955664E+002,-1.9119076E+001,-2.0762670E-002, 0.0000000E+000, 0.0000000E+000, 1.7022073E+001, 1.5906964E+001, 0.0000000E+000, 8.7476834E-003, 0.0000000E+000
 3.6602795E+001, 3.7334716E+002, 0.0000000E+000,-1.0107722E+002,-2.3237093E+002,-1.7034742E+001,-2.1034616E-002, 0.0000000E+000, 0.0000000E+000, 2.1166177E+001, 2.2843240E+001, 0.0000000E+000, 8.8198970E-003, 0.0000000E+000
 3.6900734E+001, 4.0092158E+002, 0.0000000E+000,-9.9906229E+001,-2.4763166E+002,-1.9282848E+001,-2.1092955E-002, 0.0000000E+000, 0.0000000E+000, 3.4730021E+001, 3.4079754E+001, 0.0000000E+000, 8.8920717E-003, 0.0000000E+000
 3.7203491E+001, 3.8836060E+002, 0.0000000E+000,-1.0437830E+002,-2.7821088E+002,-2.0022081E+001,-2.1902336E-002, 0.0000000E+000, 0.0000000E+000,-1.4354940E+001,-1.4272563E+001, 0.0000000E+000, 8.9644055E-003, 0.0000000E+000
 3.7508251E+001, 3.9721060E+002, 0.0000000E+000,-1.0006429E+002,-2.4568531E+002,-1.9743889E+001,-2.2114524E-002, 0.0000000E+000, 0.0000000E+000, 2.9918203E+001, 3.1694998E+001, 0.0000000E+000, 9.0386556E-003, 0.0000000E+000
 3.7808525E+001, 3.9976886E+002, 0.0000000E+000,-1.0651596E+002,-2.5486616E+002,-1.9844718E+001,-2.2590002E-002, 0.0000000E+000, 0.0000000E+000, 1.9306926E+001, 1.8519432E+001, 0.0000000E+000, 9.1115248E-003, 0.0000000E+000
 3.8105843E+001, 3.7113497E+002, 0.0000000E+000,-9.5885255E+001,-2.5747057E+002,-1.9267281E+001,-2.1788616E-002, 0.0000000E+000, 0.0000000E+000,-5.6309238E-001,-1.5099164E+000, 0.0000000E+000, 9.1835181E-003, 0.0000000E+000
 3.8406174E+001, 3.5703616E+002, 0.0000000E+000,-9.3208712E+001,-2.6679139E+002,-1.9818808E+001,-2.1601799E-002, 0.0000000E+000, 0.0000000E+000,-2.2897693E+001,-2.2804353E+001, 0.0000000E+000, 9.2558957E-003, 0.0000000E+000
 3.8700439E+001, 4.2571122E+002, 0.0000000E+000,-1.1446382E+002,-2.6910539E+002,-1.8804082E+001,-2.1944212E-002, 0.0000000E+000, 0.0000000E+000, 2.1716182E+001, 2.3315985E+001, 0.0000000E+000, 9.3279285E-003, 0.0000000E+000
 3.9002026E+001, 4.0807784E+002, 0.0000000E+000,-1.0514866E+002,-2.3807964E+002,-1.8555277E+001,-2.2004026E-002, 0.0000000E+000, 0.0000000E+000, 4.6030988E+001, 4.6272263E+001, 0.0000000E+000, 9.3994619E-003, 0.0000000E+000
 3.9301857E+001, 3.9314006E+002, 0.0000000E+000,-1.0032722E+002,-2.3899785E+002,-2.1114513E+001,-2.1618753E-002, 0.0000000E+000, 0.0000000E+000, 3.2449440E+001, 3.2678856E+001, 0.0000000E+000, 9.4724499E-003, 0.0000000E+000
 3.9600815E+001, 4.3218781E+002, 0.0000000E+000,-1.1476022E+002,-2.6750449E+002,-2.0856670E+001,-2.2631445E-002, 0.0000000E+000, 0.0000000E+000, 2.9299342E+001, 2.9043795E+001, 0.0000000E+000, 9.5452520E-003, 0.0000000E+000
