s,m,C
Time,"Vis_HeadHeight","Temp_Ceiling"
 3.1501693E+001, 1.5714432E+000, 2.3045414E+002
 3.1806679E+001, 3.9157063E-001, 2.3416581E+002
 3.2107697E+001, 5.4847539E-001, 3.1211834E+002
 3.2402153E+001, 5.6200869E-001, 2.5477524E+002
 3.2704459E+001, 1.4226458E+000, 2.4512292E+002
 3.3008175E+001, 4.2217650E+000, 2.8006205E+002
 3.3306180E+001, 6.1418681E-001, 2.2168236E+002
 3.3603386E+001, 6.8972888E-001, 2.0227453E+002
 3.3904923E+001, 1.2876862E+000, 2.1311149E+002
 3.4205579E+001, 6.3457007E-001, 1.4356115E+002
 3.4501036E+001, 3.6325981E-001, 1.9112432E+002
 3.4806655E+001, 4.9780983E-001, 2.9194959E+002
 3.5104665E+001, 4.7810885E-001, 2.1932441E+002
 3.5401366E+001, 1.4854043E+000, 2.4054936E+002
 3.5707192E+001, 4.8671877E-001, 2.3561902E+002
 3.6006640E+001, 2.1478411E+000, 3.2961746E+002
 3.6303517E+001, 1.7825408E+000, 1.8312974E+002
 3.6602794E+001, 5.5137379E-001, 2.0593310E+002
 3.6900733E+001, 7.3393010E-001, 3.1036851E+002
 3.7203489E+001, 1.0507132E+000, 2.5748804E+002
 3.7508251E+001, 1.4063445E+000, 2.7781112E+002
 3.7808526E+001, 1.0381334E+000, 2.3510498E+002
 3.8105841E+001, 4.2058960E-001, 2.4336022E+002
 3.8406173E+001, 1.5018721E+000, 2.1934518E+002
 3.8700441E+001, 1.6847179E+000, 2.3243629E+002
 3.9002025E+001, 3.9480179E-001, 2.1897023E+002
 3.9301857E+001, 1.0855218E+000, 2.6783488E+002
 3.9600816E+001, 1.5320699E+000, 2.1781229E+002
 3.9901542E+001, 5.8180983E-001, 1.9718485E+002
 4.0207124E+001, 5.7844178E-001, 2.5761298E+002
 4.0504018E+001, 1.0351814E+000, 2.4337783E+002
 4.0806102E+001, 7.2344246E-001, 2.7311420E+002
 4.1102599E+001, 4.0485518E-001, 3.0490781E+002
 4.1405961E+001, 8.6066241E-001, 2.9214331E+002
 4.1705841E+001, 1.3835832E+000, 2.7751529E+002
 4.2002171E+001, 5.7818643E-001, 2.7992019E+002
 4.2307577E+001, 5.9470002E-001, 3.8194312E+002
 4.2607116E+001, 9.1005996E-001, 3.9905820E+002
 4.2904052E+001, 7.6080682E-001, 3.2112594E+002
 4.3204525E+001, 1.5285229E+000, 2.8125895E+002
 4.3507487E+001, 3.2233048E-001, 2.0012877E+002
 4.3807506E+001, 5.3879476E-001, 2.9715111E+002
 4.4104194E+001, 4.3660524E-001, 3.3388075E+002
 4.4405129E+001, 4.9925499E-001, 3.5350208E+002
 4.4701376E+001, 5.3574070E-001, 3.3348997E+002
 4.5003015E+001, 6.6647050E-001, 3.3667351E+002
 4.5305884E+001, 4.5698375E-001, 3.0798151E+002
 4.5603576E+001, 5.3407962E-001, 2.6834436E+002
 4.5903501E+001, 1.2363422E+000, 2.4891710E+002
 4.6207342E+001, 5.0642352E-001, 3.1302948E+002
 4.6502483E+001, 5.4908502E-001, 2.4539757E+002
 4.6802982E+001, 6.0223988E-001, 3.9559508E+002
 4.7106267E+001, 3.3382246E-001, 3.6629109E+002
 4.7406994E+001, 7.2215813E-001, 3.7382010E+002
 4.7702391E+001, 5.5539664E+000, 3.3681525E+002
 4.8003725E+001, 4.0132367E-001, 2.8968695E+002
 4.8303755E+001, 4.9564522E-001, 3.6971583E+002
 4.8601224E+001, 5.5329706E-001, 3.8883988E+002
 4.8903611E+001, 1.5942935E+000, 3.5658156E+002
 4.9201596E+001, 2.2504895E+000, 3.9022471E+002
 4.9505847E+001, 4.6504117E-001, 2.4713738E+002
 4.9800097E+001, 1.0879849E+000, 3.6483527E+002
 5.0101021E+001, 4.3885823E-001, 1.4531839E+002
 5.0405498E+001, 5.3324970E-001, 2.5380935E+002
 5.0702167E+001, 1.2509881E+000, 3.5806907E+002
 5.1000543E+001, 1.6071125E+000, 2.4670849E+002
 5.1302332E+001, 5.2366667E-001, 2.5760428E+002
 5.1602804E+001, 3.2247552E-001, 3.1367490E+002
 5.1905547E+001, 2.3590356E+000, 4.2652165E+002
 5.2205046E+001, 9.9083956E-001, 3.6279586E+002
 5.2505976E+001, 4.6316379E-001, 2.5185664E+002
 5.2800845E+001, 8.3000713E-001, 4.2072217E+002
 5.3100550E+001, 1.0248007E+000, 4.1282440E+002
 5.3401057E+001, 8.2724989E-001, 3.4866825E+002
 5.3700401E+001, 4.6899343E-001, 3.7934146E+002
 5.4005003E+001, 4.8499819E-001, 4.7004689E+002
 5.4303630E+001, 6.0182970E-001, 5.5469958E+002
 5.4606660E+001, 1.0383291E+000, 4.6549729E+002
 5.4907426E+001, 5.9427037E-001, 3.5882756E+002
 5.5206970E+001, 4.6867089E-001, 4.6353132E+002
 5.5505099E+001, 5.5720257E-001, 3.7970151E+002
 5.5800232E+001, 5.7872952E-001, 2.9367442E+002
 5.6103683E+001, 9.9585117E-001, 4.8302826E+002
 5.6406415E+001, 1.0055805E+000, 3.7217895E+002
 5.6706221E+001, 7.3910098E-001, 3.7507621E+002
 5.7006000E+001, 2.0442037E+000, 2.8614098E+002
