s,m,C
Time,"Vis_HeadHeight","Temp_Ceiling"
 1.3860295E+002, 5.1408542E-001, 3.2080207E+002
 1.3890447E+002, 1.3121024E+000, 3.7779996E+002
 1.3920593E+002, 3.4919785E-001, 3.3130487E+002
 1.3950317E+002, 6.1401068E-001, 4.3112099E+002
 1.3980443E+002, 1.5012464E+000, 4.2016413E+002
 1.4010691E+002, 3.9473459E-001, 3.1519976E+002
 1.4040394E+002, 3.8348360E-001, 4.7753220E+002
 1.4070099E+002, 1.2089969E+000, 2.5595006E+002
 1.4100341E+002, 6.4101989E+000, 3.8361229E+002
 1.4130384E+002, 4.9758626E-001, 2.8466301E+002
 1.4160531E+002, 3.8850995E-001, 4.0134456E+002
 1.4190714E+002, 1.7493156E+000, 4.2915575E+002
 1.4220295E+002, 3.2624866E-001, 3.9076287E+002
 1.4250000E+002, 7.9740486E-001, 4.1832868E+002
 1.4280300E+002, 1.2846358E+000, 3.5699939E+002
 1.4310317E+002, 4.6783142E-001, 2.8193212E+002
 1.4340417E+002, 3.8918638E-001, 4.4552697E+002
 1.4370508E+002, 3.4426724E-001, 3.5063020E+002
 1.4400591E+002, 1.6242297E+000, 3.6756452E+002
 1.4430367E+002, 8.5393044E-001, 3.4135692E+002
 1.4460685E+002, 3.5687452E-001, 4.4862531E+002
 1.4490563E+002, 5.8826803E-001, 4.4657598E+002
 1.4520536E+002, 5.7888525E-001, 3.7281326E+002
 1.4550048E+002, 5.7132824E-001, 4.2412699E+002
 1.4580234E+002, 2.0379277E+000, 4.5553356E+002
 1.4610108E+002, 1.0491468E+000, 4.7552632E+002
 1.4640595E+002, 4.6407494E-001, 3.4858556E+002
 1.4670448E+002, 5.5064215E-001, 5.0730263E+002
 1.4700118E+002, 7.0577538E-001, 3.9006125E+002
 1.4730509E+002, 2.5712473E+000, 4.8394186E+002
 1.4760378E+002, 4.2810997E-001, 3.3417135E+002
 1.4790250E+002, 8.7421016E-001, 3.6091572E+002
 1.4820381E+002, 6.7217673E-001, 3.5579563E+002
 1.4850235E+002, 6.8368641E-001, 4.1098762E+002
 1.4880281E+002, 8.9630075E-001, 4.6334604E+002
 1.4910718E+002, 4.3798805E-001, 3.8511254E+002
 1.4940571E+002, 9.8118327E-001, 4.7455845E+002
 1.4970534E+002, 8.3660871E-001, 3.3840810E+002
 1.5000433E+002, 5.3307503E-001, 3.9480385E+002
 1.5030899E+002, 4.1838042E-001, 3.0916683E+002
 1.5060388E+002, 5.1149850E-001, 4.1610737E+002
 1.5090754E+002, 1.1385619E+000, 5.0237071E+002
 1.5120517E+002, 3.8950816E-001, 4.1822566E+002
 1.5150364E+002, 4.2604399E-001, 4.5757915E+002
 1.5180625E+002, 1.2374727E+000, 4.4212561E+002
 1.5210521E+002, 4.4614171E-001, 2.9450620E+002
 1.5240238E+002, 5.5139812E-001, 3.4598229E+002
 1.5270081E+002, 9.5921412E-001, 3.5021540E+002
 1.5300459E+002, 1.9599430E+000, 4.4287760E+002
 1.5330185E+002, 5.4340866E-001, 4.0125244E+002
 1.5360107E+002, 1.0614228E+000, 4.6175218E+002
 1.5390498E+002, 8.6531670E-001, 4.5399017E+002
 1.5420338E+002, 1.2028404E+000, 3.8441873E+002
 1.5450053E+002, 5.9265963E-001, 3.0554124E+002
 1.5480574E+002, 4.1860521E-001, 3.4117988E+002
 1.5510748E+002, 1.0007769E+000, 4.6470878E+002
 1.5540635E+002, 4.1295649E-001, 4.6206843E+002
 1.5570583E+002, 4.3370117E-001, 4.8105240E+002
 1.5600025E+002, 6.4760526E-001, 3.4923686E+002
 1.5630204E+002, 8.8270594E-001, 3.3129223E+002
 1.5660048E+002, 4.9633436E-001, 4.0447127E+002
 1.5690314E+002, 1.3701498E+000, 3.3005877E+002
 1.5720626E+002, 5.0020266E-001, 2.8016913E+002
 1.5750351E+002, 4.8852047E-001, 4.1227467E+002
 1.5780628E+002, 6.2293175E-001, 4.6723208E+002
 1.5810223E+002, 3.8028014E-001, 3.6969291E+002
 1.5840158E+002, 3.9315458E-001, 4.3027236E+002
 1.5870399E+002, 4.8412111E-001, 5.3782924E+002
 1.5900329E+002, 3.1389102E-001, 4.2817920E+002
 1.5930413E+002, 5.1103502E-001, 4.9076545E+002
 1.5960689E+002, 4.6759159E-001, 3.9571126E+002
 1.5990656E+002, 3.7430292E-001, 3.7259328E+002
 1.6020074E+002, 3.7388330E-001, 4.2097025E+002
 1.6050065E+002, 4.0088962E-001, 3.6469742E+002
 1.6080590E+002, 5.5982656E-001, 3.1619106E+002
 1.6110066E+002, 5.2858639E-001, 3.3421013E+002
 1.6140290E+002, 5.7142535E-001, 3.8725462E+002
 1.6170504E+002, 4.4638174E-001, 3.9864953E+002
 1.6200495E+002, 3.5026565E-001, 4.0230447E+002
 1.6230126E+002, 1.4549828E+000, 6.0250396E+002
 1.6260087E+002, 4.4481518E+000, 5.3068295E+002
 1.6290561E+002, 3.6567032E-001, 3.2581987E+002
 1.6320640E+002, 4.4806728E-001, 3.3927760E+002
 1.6350215E+002, 5.0260858E-001, 4.6161301E+002
 1.6380109E+002, 5.2842840E-001, 4.7468800E+002
 1.6410611E+002, 7.1143952E-001, 3.8025299E+002
 1.6440266E+002, 5.8810539E-001, 3.8357489E+002
 1.6470465E+002, 2.3920429E+000, 3.5331272E+002
 1.6500108E+002, 1.0178547E+000, 3.4757586E+002
 1.6530252E+002, 8.9888770E-001, 3.1640486E+002
 1.6560631E+002, 1.4469994E+000, 2.8550356E+002
 1.6590309E+002, 3.1675272E-001, 2.7193054E+002
 1.6620367E+002, 7.7157822E-001, 4.6303432E+002
 1.6650184E+002, 1.0615960E+000, 4.6510932E+002
 1.6680593E+002, 5.9418839E-001, 3.0922684E+002
 1.6710119E+002, 9.8484881E-001, 3.0992561E+002
 1.6740560E+002, 1.9489201E+000, 3.5007989E+002
 1.6770341E+002, 6.0768854E-001, 2.9969554E+002
 1.6800442E+002, 5.2301238E-001, 3.8893848E+002
 1.6830336E+002, 4.3965769E-001, 4.4589600E+002
 1.6860139E+002, 4.9989177E-001, 4.8060583E+002
 1.6890260E+002, 6.4711174E-001, 3.5607729E+002
 1.6920237E+002, 1.5117537E+000, 3.1682151E+002
 1.6950576E+002, 3.6470587E-001, 3.3492730E+002
 1.6980372E+002, 5.8078355E-001, 5.2723207E+002
 1.7010389E+002, 6.3947828E-001, 3.5556560E+002
 1.7040434E+002, 4.6546301E-001, 4.3893982E+002
 1.7070381E+002, 8.8428346E-001, 3.0366586E+002
 1.7100166E+002, 3.7594328E+000, 3.5852791E+002
 1.7130657E+002, 8.6620104E-001, 2.9276153E+002
 1.7160024E+002, 4.5631769E-001, 3.4106482E+002
 1.7190224E+002, 7.9835521E-001, 4.0586429E+002
 1.7220357E+002, 2.7768262E+000, 3.8327709E+002
 1.7250154E+002, 3.5918839E+000, 2.3840773E+002
 1.7280159E+002, 3.5453941E-001, 2.6503624E+002
 1.7310303E+002, 3.7738251E-001, 5.6503338E+002
 1.7340057E+002, 4.6505176E-001, 4.3844433E+002
 1.7370236E+002, 4.9850269E-001, 3.7148195E+002
 1.7400064E+002, 1.8144398E+000, 4.2009505E+002
 1.7430494E+002, 3.5703799E-001, 3.5812101E+002
 1.7460679E+002, 5.4633126E-001, 5.0174372E+002
 1.7490571E+002, 5.1129012E-001, 4.2592624E+002
 1.7520550E+002, 5.0404812E-001, 4.2815822E+002
 1.7550026E+002, 6.6250587E-001, 4.9231261E+002
 1.7580429E+002, 3.2134038E-001, 3.7242941E+002
 1.7610564E+002, 6.9944556E-001, 3.9811888E+002
 1.7640272E+002, 7.9833861E-001, 5.3411758E+002
 1.7670055E+002, 3.4527715E-001, 3.2784857E+002
 1.7700558E+002, 4.3345673E-001, 4.0362986E+002
 1.7730319E+002, 5.3866141E-001, 3.3129489E+002
 1.7760019E+002, 4.4800271E-001, 4.0668003E+002
 1.7790665E+002, 4.9527386E-001, 4.2479589E+002
 1.7820486E+002, 1.6623556E+000, 4.0658955E+002
 1.7850075E+002, 4.6340048E-001, 3.3839215E+002
 1.7880560E+002, 3.6431427E-001, 3.4066700E+002
 1.7910219E+002, 8.0467116E-001, 3.8727051E+002
 1.7940447E+002, 2.1038004E+000, 4.4332492E+002
 1.7970601E+002, 2.7946754E+000, 4.2473884E+002
 1.8000593E+002, 4.8647077E-001, 3.1337358E+002
 1.8030558E+002, 4.9182442E-001, 3.0639483E+002
 1.8060655E+002, 6.2285427E-001, 4.3472918E+002
 1.8090820E+002, 1.3836848E+000, 2.5817494E+002
 1.8120226E+002, 1.4356170E+000, 3.9430045E+002
 1.8150238E+002, 4.4139551E-001, 3.4309673E+002
 1.8180387E+002, 9.4814315E-001, 3.5039180E+002
 1.8210529E+002, 1.2806939E+000, 3.9406576E+002
 1.8240638E+002, 3.7530405E-001, 3.7099290E+002
 1.8270045E+002, 1.1180944E+000, 5.4362535E+002
 1.8300551E+002, 1.2494070E+000, 3.4478520E+002
 1.8330103E+002, 5.7079545E-001, 3.9885511E+002
 1.8360136E+002, 3.4849290E-001, 4.1294833E+002
 1.8390634E+002, 7.7400536E-001, 4.5938889E+002
 1.8420804E+002, 3.8911094E+000, 4.0932697E+002
 1.8450121E+002, 1.7450983E+000, 2.2497423E+002
 1.8480580E+002, 5.2900124E-001, 2.7607711E+002
 1.8510084E+002, 1.2109333E+000, 2.7811409E+002
 1.8540183E+002, 7.7075576E-001, 2.9455475E+002
 1.8570126E+002, 8.4398205E-001, 3.2500322E+002
 1.8600666E+002, 3.3987708E+000, 3.0806726E+002
 1.8630330E+002, 1.5176702E+000, 2.4082536E+002
 1.8660264E+002, 4.6614013E-001, 4.2615631E+002
 1.8690237E+002, 1.1133516E+000, 5.1382963E+002
 1.8720151E+002, 1.3334946E+000, 3.1260066E+002
 1.8750232E+002, 3.2339732E-001, 3.7650345E+002
 1.8780060E+002, 5.7831093E-001, 4.8864209E+002
 1.8810533E+002, 2.3154025E+000, 3.6958691E+002
 1.8840417E+002, 4.9692461E-001, 2.4215313E+002
 1.8870395E+002, 5.9138121E-001, 2.8977440E+002
 1.8900128E+002, 4.2451929E-001, 2.7246628E+002
 1.8930042E+002, 5.5823446E-001, 4.1409399E+002
 1.8960622E+002, 3.2797591E-001, 3.9079853E+002
 1.8990082E+002, 3.2718050E-001, 5.2000814E+002
 1.9020628E+002, 4.9967899E-001, 5.3515734E+002
 1.9050741E+002, 5.7464928E-001, 4.4859603E+002
 1.9080685E+002, 1.4127714E+000, 4.3626346E+002
 1.9110579E+002, 3.0331008E+000, 4.9051316E+002
 1.9140772E+002, 4.4952723E-001, 3.5221446E+002
 1.9170063E+002, 3.7702191E-001, 4.8761993E+002
 1.9200354E+002, 4.5206741E-001, 3.6519671E+002
 1.9230720E+002, 6.0554338E-001, 4.1028333E+002
 1.9260650E+002, 1.0528878E+000, 3.6257034E+002
 1.9290319E+002, 2.0423960E+000, 4.7315381E+002
 1.9320597E+002, 5.6703646E-001, 3.3900451E+002
 1.9350809E+002, 3.4730226E-001, 3.2108254E+002
 1.9380461E+002, 5.2338941E-001, 5.6742971E+002
 1.9410455E+002, 5.3583262E-001, 4.3417109E+002
 1.9440450E+002, 5.1640137E-001, 4.3409137E+002
 1.9470049E+002, 5.1269387E-001, 6.1680792E+002
 1.9500236E+002, 3.8623677E-001, 4.3129814E+002
 1.9530370E+002, 1.0685878E+000, 2.4152764E+002
 1.9560296E+002, 4.3783658E-001, 3.2363841E+002
 1.9590328E+002, 8.5942839E-001, 4.5802369E+002
 1.9620488E+002, 1.4705042E+000, 2.8239605E+002
 1.9650077E+002, 3.4115656E-001, 3.7466784E+002
 1.9680414E+002, 3.8386107E-001, 3.7850420E+002
 1.9710326E+002, 4.6236621E-001, 4.0067269E+002
 1.9740025E+002, 9.0981880E-001, 3.7107301E+002
 1.9770217E+002, 1.5539185E+000, 4.5417209E+002
 1.9800472E+002, 5.0416323E-001, 3.0211579E+002
 1.9830638E+002, 6.3562062E-001, 3.9175703E+002
 1.9860321E+002, 6.4332440E-001, 3.2943463E+002
 1.9890684E+002, 1.6068328E+000, 4.0610590E+002
 1.9920726E+002, 1.3675297E+000, 2.3499317E+002
 1.9950172E+002, 6.5353615E-001, 3.6731951E+002
 1.9980167E+002, 2.5677406E+000, 4.1541112E+002
 2.0010672E+002, 1.6117020E+000, 4.1650111E+002
 2.0040120E+002, 9.8838402E-001, 3.3477491E+002
 2.0070265E+002, 5.3330396E-001, 2.9554475E+002
 2.0100263E+002, 5.5947050E-001, 3.9401908E+002
 2.0130410E+002, 1.0039924E+000, 4.3096645E+002
 2.0160563E+002, 8.2929594E-001, 3.8767629E+002
 2.0190226E+002, 1.4798795E+000, 3.1560358E+002
 2.0220573E+002, 4.1050140E-001, 2.6430582E+002
 2.0250810E+002, 1.8322297E+000, 3.7193955E+002
 2.0280192E+002, 4.5374531E-001, 3.2562587E+002
 2.0310655E+002, 1.2717965E+000, 4.6209484E+002
 2.0340318E+002, 1.3193930E+000, 2.6890327E+002
 2.0370276E+002, 6.2239309E-001, 3.4922686E+002
 2.0400020E+002, 1.7492974E+000, 3.9874756E+002
 2.0430570E+002, 6.6962217E-001, 3.3849629E+002
 2.0460485E+002, 4.3737578E-001, 5.8434423E+002
 2.0490286E+002, 9.5957750E-001, 4.6972120E+002
 2.0520088E+002, 5.0302285E-001, 3.0958241E+002
 2.0550405E+002, 9.7081695E-001, 3.3221352E+002
 2.0580459E+002, 1.4397925E+000, 3.2489605E+002
 2.0610289E+002, 7.0024735E-001, 4.1891413E+002
 2.0640312E+002, 3.1662163E-001, 4.1496581E+002
 2.0670534E+002, 6.5799541E-001, 3.9628194E+002
 2.0700703E+002, 1.5073819E+000, 2.4042830E+002
 2.0730119E+002, 3.7866349E-001, 3.6258250E+002
 2.0760422E+002, 3.9739816E-001, 3.7838486E+002
 2.0790499E+002, 6.3594421E-001, 2.6937464E+002
 2.0820361E+002, 1.0773479E+000, 2.6516724E+002
 2.0850358E+002, 5.6852121E-001, 2.5879724E+002
 2.0880034E+002, 4.1662248E-001, 4.3370332E+002
 2.0910102E+002, 4.6183257E-001, 3.3812381E+002
 2.0940499E+002, 6.6926388E-001, 3.2148856E+002
 2.0970183E+002, 9.9032356E-001, 3.2012655E+002
 2.1000027E+002, 4.9832832E-001, 2.7739366E+002
 2.1030457E+002, 5.2076137E-001, 2.7942448E+002
 2.1060059E+002, 4.2136712E-001, 3.8499967E+002
 2.1090055E+002, 8.8919984E-001, 3.1112415E+002
 2.1120527E+002, 1.3076158E+000, 3.3174033E+002
 2.1150499E+002, 3.6597239E-001, 2.8198005E+002
 2.1180039E+002, 7.3359163E-001, 3.2195232E+002
 2.1210397E+002, 5.9733793E-001, 4.1400327E+002
 2.1240595E+002, 2.9139609E-001, 3.7459979E+002
 2.1270384E+002, 7.1563681E-001, 5.4866130E+002
 2.1300629E+002, 7.1857203E-001, 3.4725915E+002
 2.1330163E+002, 1.2687471E+000, 3.3172568E+002
 2.1360319E+002, 4.1891810E-001, 3.8609920E+002
 2.1390636E+002, 3.6798479E-001, 3.8655986E+002
 2.1420669E+002, 4.4300743E-001, 3.4868977E+002
 2.1450000E+002, 8.9707834E-001, 3.0262125E+002
 2.1480130E+002, 4.4537925E-001, 3.7966767E+002
 2.1510400E+002, 3.7030008E-001, 4.6816508E+002
 2.1540613E+002, 4.2382395E-001, 5.2561497E+002
 2.1570499E+002, 1.2805237E+000, 4.0039224E+002
 2.1600559E+002, 1.1049313E+000, 2.0970846E+002
 2.1630493E+002, 4.2973078E-001, 2.8254249E+002
 2.1660247E+002, 6.1574799E-001, 2.4984161E+002
