s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s,kg/s,Pa
Time,HRR,HRR_OX,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_ENTH,Q_TOTAL,MLR_AIR,MLR_PROPANE,MLR_PRODUCTS,ZONE_1
 9.0006889E+001, 8.0222679E+002, 0.0000000E+000,-2.8319087E+002,-4.7411127E+002,-6.7806885E+001,-3.8224317E-002,-7.7557472E-006, 0.0000000E+000,-2.2696271E+001,-2.2920465E+001, 0.0000000E+000, 1.8761455E-002, 0.0000000E+000,-5.9568370E-001
 9.0503265E+001, 8.4569991E+002, 0.0000000E+000,-2.9110264E+002,-4.4866021E+002,-6.3301077E+001,-4.0322750E-002, 4.0971230E-005, 0.0000000E+000, 4.3436571E+001, 4.2595696E+001, 0.0000000E+000, 1.8865946E-002, 0.0000000E+000,-5.9436189E-001
 9.1009689E+001, 7.8195206E+002, 0.0000000E+000,-2.8585012E+002,-4.4392713E+002,-6.1425853E+001,-3.8449795E-002,-9.8820068E-006, 0.0000000E+000,-1.1502853E+001,-9.2894986E+000, 0.0000000E+000, 1.8971123E-002, 0.0000000E+000,-5.9467016E-001
 9.1505081E+001, 8.4293485E+002, 0.0000000E+000,-2.8907067E+002,-4.5999186E+002,-6.2312832E+001,-4.0766300E-002,-6.8605738E-006, 0.0000000E+000, 3.1640434E+001, 3.1518708E+001, 0.0000000E+000, 1.9075251E-002, 0.0000000E+000,-5.9489740E-001
 9.2006630E+001, 8.2627798E+002, 0.0000000E+000,-2.9066699E+002,-4.6067465E+002,-6.3496654E+001,-4.0571720E-002,-2.9274984E-005, 0.0000000E+000, 1.1194803E+001, 1.1399089E+001, 0.0000000E+000, 1.9179415E-002, 0.0000000E+000,-5.9578884E-001
 9.2506142E+001, 8.5403628E+002, 0.0000000E+000,-2.9427147E+002,-4.5170886E+002,-6.6118648E+001,-4.1908219E-002,-1.4120995E-006, 0.0000000E+000, 4.0923602E+001, 4.1895393E+001, 0.0000000E+000, 1.9284540E-002, 0.0000000E+000,-5.9585900E-001
 9.3001320E+001, 7.4972000E+002, 0.0000000E+000,-2.7243272E+002,-4.2229866E+002,-6.5381268E+001,-4.0279262E-002, 7.4512750E-006, 0.0000000E+000,-9.7646907E+000,-1.0432913E+001, 0.0000000E+000, 1.9388325E-002, 0.0000000E+000,-5.9561588E-001
 9.3503441E+001, 8.4585259E+002, 0.0000000E+000,-2.9289714E+002,-4.7372541E+002,-6.7905394E+001,-3.9372309E-002, 1.4757005E-005, 0.0000000E+000, 1.1201401E+001, 1.1285279E+001, 0.0000000E+000, 1.9492134E-002, 0.0000000E+000,-5.9517336E-001
 9.4001686E+001, 8.2717275E+002, 0.0000000E+000,-2.9097231E+002,-4.7077294E+002,-6.6204029E+001,-3.9716080E-002,-3.0780286E-006, 0.0000000E+000,-4.5982178E-001,-8.1625237E-001, 0.0000000E+000, 1.9597129E-002, 0.0000000E+000,-5.9525646E-001
 9.4507568E+001, 8.8333616E+002, 0.0000000E+000,-3.0917548E+002,-4.6875700E+002,-6.6802826E+001,-4.0820722E-002, 2.6252181E-006, 0.0000000E+000, 3.7527702E+001, 3.8560042E+001, 0.0000000E+000, 1.9702088E-002, 0.0000000E+000,-5.9514227E-001
 9.5004349E+001, 8.0756462E+002, 0.0000000E+000,-2.8946796E+002,-4.3377679E+002,-6.9366979E+001,-3.9274953E-002,-2.4193847E-005, 0.0000000E+000, 1.4736005E+001, 1.4913602E+001, 0.0000000E+000, 1.9806446E-002, 0.0000000E+000,-5.9592280E-001
 9.5506683E+001, 8.5505991E+002, 0.0000000E+000,-3.0811380E+002,-4.4217828E+002,-7.1608275E+001,-4.0293668E-002, 4.1065707E-006, 0.0000000E+000, 3.2656261E+001, 3.3119262E+001, 0.0000000E+000, 1.9911183E-002, 0.0000000E+000,-5.9582606E-001
 9.6008202E+001, 8.3360966E+002, 0.0000000E+000,-3.0254583E+002,-4.7285026E+002,-7.0105066E+001,-4.0614174E-002,-1.3939750E-005, 0.0000000E+000,-1.4188535E+001,-1.1932126E+001, 0.0000000E+000, 2.0016206E-002, 0.0000000E+000,-5.9630492E-001
 9.6501190E+001, 8.6918787E+002, 0.0000000E+000,-3.0643790E+002,-4.9056954E+002,-6.8426264E+001,-4.1443766E-002, 9.4208809E-006, 0.0000000E+000, 4.0021235E+000, 3.7127337E+000, 0.0000000E+000, 2.0119926E-002, 0.0000000E+000,-5.9591431E-001
 9.7003456E+001, 9.1707885E+002, 0.0000000E+000,-3.2348839E+002,-5.0678801E+002,-6.7031727E+001,-4.2323162E-002, 2.5613581E-006, 0.0000000E+000, 2.0321676E+001, 1.9728403E+001, 0.0000000E+000, 2.0224036E-002, 0.0000000E+000,-5.9582619E-001
 9.7504211E+001, 8.3450277E+002, 0.0000000E+000,-3.0645723E+002,-4.6934361E+002,-6.9135043E+001,-4.0515737E-002,-7.9477083E-006, 0.0000000E+000,-1.2723152E+001,-1.0473636E+001, 0.0000000E+000, 2.0328950E-002, 0.0000000E+000,-5.9614812E-001
 9.8007301E+001, 9.0119420E+002, 0.0000000E+000,-3.2228651E+002,-4.8444806E+002,-6.9351690E+001,-4.0702069E-002, 2.6124097E-005, 0.0000000E+000, 2.5885324E+001, 2.5067267E+001, 0.0000000E+000, 2.0433372E-002, 0.0000000E+000,-5.9526976E-001
 9.8502182E+001, 9.2496406E+002, 0.0000000E+000,-3.2229406E+002,-4.8975499E+002,-6.9303130E+001,-4.2371083E-002, 1.6532254E-005, 0.0000000E+000, 4.3884022E+001, 4.3569529E+001, 0.0000000E+000, 2.0538465E-002, 0.0000000E+000,-5.9478540E-001
 9.9000031E+001, 8.5480573E+002, 0.0000000E+000,-3.2011680E+002,-4.5706819E+002,-6.8853024E+001,-4.2266032E-002, 2.9552946E-006, 0.0000000E+000, 8.2080880E+000, 8.7254548E+000, 0.0000000E+000, 2.0641680E-002, 0.0000000E+000,-5.9470204E-001
 9.9509514E+001, 8.9798384E+002, 0.0000000E+000,-3.1799547E+002,-4.9450595E+002,-7.1453735E+001,-4.2783014E-002,-8.9026621E-006, 0.0000000E+000, 1.4787384E+001, 1.3985895E+001, 0.0000000E+000, 2.0747072E-002, 0.0000000E+000,-5.9502272E-001
 1.0000433E+002, 8.3999475E+002, 0.0000000E+000,-3.1239664E+002,-4.7315756E+002,-6.6860019E+001,-4.1653766E-002, 8.4214708E-006, 0.0000000E+000,-1.3400254E+001,-1.2461114E+001, 0.0000000E+000, 2.0852078E-002, 0.0000000E+000,-5.9472630E-001
 1.0050104E+002, 8.8406736E+002, 0.0000000E+000,-3.2059027E+002,-4.9403700E+002,-6.7510051E+001,-4.2197307E-002,-4.7453634E-005, 0.0000000E+000, 1.3826957E-001, 1.8877919E+000, 0.0000000E+000, 2.0901895E-002, 0.0000000E+000,-5.9621796E-001
 1.0100101E+002, 9.2956442E+002, 0.0000000E+000,-3.3646718E+002,-4.9521949E+002,-7.3133939E+001,-4.1536805E-002, 2.0142828E-005, 0.0000000E+000, 2.5504781E+001, 2.4702300E+001, 0.0000000E+000, 2.0901895E-002, 0.0000000E+000,-5.9553152E-001
