s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s,kg/s,Pa
Time,HRR,HRR_OX,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_ENTH,Q_TOTAL,MLR_AIR,MLR_PROPANE,MLR_PRODUCTS,ZONE_1
 1.1700016E+002, 8.9483507E+002, 0.0000000E+000,-3.2731947E+002,-5.1511431E+002,-7.0742953E+001,-4.3594134E-002, 7.4224021E-006, 0.0000000E+000,-1.9850945E+001,-1.8385255E+001, 0.0000000E+000, 2.0901895E-002, 0.0000000E+000,-5.9658448E-001
 1.1750147E+002, 9.0924101E+002, 0.0000000E+000,-3.2826005E+002,-5.1136837E+002,-7.3802730E+001,-4.1679194E-002, 1.0703666E-005, 0.0000000E+000,-3.5335509E+000,-4.2318105E+000, 0.0000000E+000, 2.0901895E-002, 0.0000000E+000,-5.9627437E-001
 1.1800432E+002, 8.5984664E+002, 0.0000000E+000,-3.1211694E+002,-4.8727111E+002,-7.1826325E+001,-4.2247673E-002,-1.2201315E-005, 0.0000000E+000,-1.3000145E+001,-1.1409993E+001, 0.0000000E+000, 2.0901895E-002, 0.0000000E+000,-5.9665723E-001
 1.1850424E+002, 9.2995348E+002, 0.0000000E+000,-3.2735861E+002,-4.9579318E+002,-7.4094999E+001,-4.1797533E-002,-8.6679322E-006, 0.0000000E+000, 3.3220523E+001, 3.2664879E+001, 0.0000000E+000, 2.0901895E-002, 0.0000000E+000,-5.9689184E-001
 1.1900600E+002, 8.4228590E+002, 0.0000000E+000,-3.1636001E+002,-4.8056122E+002,-7.4419556E+001,-4.0301491E-002, 2.2375766E-005, 0.0000000E+000,-2.9079134E+001,-2.9095159E+001, 0.0000000E+000, 2.0901895E-002, 0.0000000E+000,-5.9622490E-001
 1.1950232E+002, 9.1767725E+002, 0.0000000E+000,-3.3096855E+002,-4.8464061E+002,-7.1118247E+001,-4.0975146E-002, 2.8463665E-005, 0.0000000E+000, 3.0443178E+001, 3.0908892E+001, 0.0000000E+000, 2.0901895E-002, 0.0000000E+000,-5.9532561E-001
 1.2000535E+002, 9.0119919E+002, 0.0000000E+000,-3.2350690E+002,-5.1035386E+002,-6.9445601E+001,-4.1873101E-002, 4.4539718E-006, 0.0000000E+000,-2.4067317E+000,-2.1490337E+000, 0.0000000E+000, 2.0901895E-002, 0.0000000E+000,-5.9524470E-001
 1.2050436E+002, 9.2336824E+002, 0.0000000E+000,-3.2585226E+002,-5.0896658E+002,-6.8955183E+001,-4.2999067E-002, 1.4811273E-006, 0.0000000E+000, 1.9514385E+001, 1.9551227E+001, 0.0000000E+000, 2.0901895E-002, 0.0000000E+000,-5.9516176E-001
 1.2100841E+002, 8.7734793E+002, 0.0000000E+000,-3.2635315E+002,-4.7021779E+002,-6.8342002E+001,-4.0768442E-002,-2.4777520E-005, 0.0000000E+000, 1.1865416E+001, 1.2394192E+001, 0.0000000E+000, 2.0901895E-002, 0.0000000E+000,-5.9592366E-001
 1.2150213E+002, 9.3351967E+002, 0.0000000E+000,-3.3419019E+002,-4.9497560E+002,-6.9589827E+001,-4.2053101E-002,-9.0070986E-006, 0.0000000E+000, 3.2461155E+001, 3.4721989E+001, 0.0000000E+000, 2.0901895E-002, 0.0000000E+000,-5.9624921E-001
 1.2200436E+002, 8.9642001E+002, 0.0000000E+000,-3.3142370E+002,-4.9638788E+002,-6.9338022E+001,-4.2127675E-002, 1.9603197E-005, 0.0000000E+000, 2.8374885E-001,-7.7170705E-001, 0.0000000E+000, 2.0901895E-002, 0.0000000E+000,-5.9562929E-001
 1.2250412E+002, 9.1670244E+002, 0.0000000E+000,-3.4159557E+002,-5.0272785E+002,-7.1164292E+001,-4.3017916E-002,-5.3700349E-006, 0.0000000E+000, 4.8216170E-001, 1.1717102E+000, 0.0000000E+000, 2.0901895E-002, 0.0000000E+000,-5.9577604E-001
 1.2300573E+002, 8.2328532E+002, 0.0000000E+000,-3.2115356E+002,-4.9594871E+002,-7.1800559E+001,-4.1708182E-002, 2.4941039E-006, 0.0000000E+000,-6.7303037E+001,-6.5659215E+001, 0.0000000E+000, 2.0901895E-002, 0.0000000E+000,-5.9570653E-001
 1.2350223E+002, 1.0051334E+003, 0.0000000E+000,-3.5289993E+002,-5.1439711E+002,-7.3414138E+001,-4.2394442E-002,-1.7139691E-005, 0.0000000E+000, 6.4883138E+001, 6.4379858E+001, 0.0000000E+000, 2.0901895E-002, 0.0000000E+000,-5.9615432E-001
 1.2400983E+002, 8.7128018E+002, 0.0000000E+000,-3.2368637E+002,-4.8670619E+002,-7.0651772E+001,-4.1363072E-002, 2.9000820E-005, 0.0000000E+000,-1.0626395E+001,-9.8054796E+000, 0.0000000E+000, 2.0901895E-002, 0.0000000E+000,-5.9534959E-001
 1.2450546E+002, 8.7653243E+002, 0.0000000E+000,-3.2229954E+002,-5.0601475E+002,-6.7119436E+001,-4.1902010E-002,-6.8438666E-006, 0.0000000E+000,-1.9505068E+001,-1.8943213E+001, 0.0000000E+000, 2.0901895E-002, 0.0000000E+000,-5.9550085E-001
 1.2500416E+002, 9.2221387E+002, 0.0000000E+000,-3.3553451E+002,-5.3896944E+002,-6.7223288E+001,-4.2556353E-002, 9.4083080E-006, 0.0000000E+000,-1.9987966E+001,-1.9555907E+001, 0.0000000E+000, 2.0901895E-002, 0.0000000E+000,-5.9524804E-001
 1.2550251E+002, 8.5815673E+002, 0.0000000E+000,-3.1637202E+002,-5.0303506E+002,-6.9543423E+001,-4.2412618E-002,-1.2935115E-005, 0.0000000E+000,-3.0226702E+001,-3.0836197E+001, 0.0000000E+000, 2.0901895E-002, 0.0000000E+000,-5.9562544E-001
 1.2600140E+002, 9.3134495E+002, 0.0000000E+000,-3.3578637E+002,-5.1450313E+002,-6.9142423E+001,-4.4012990E-002, 9.9558696E-006, 0.0000000E+000, 1.1288817E+001, 1.1869019E+001, 0.0000000E+000, 2.0901895E-002, 0.0000000E+000,-5.9534501E-001
 1.2650194E+002, 8.9584291E+002, 0.0000000E+000,-3.3181568E+002,-4.9625280E+002,-7.1214666E+001,-4.3392795E-002,-2.3814786E-005, 0.0000000E+000,-4.6365922E+000,-3.4836508E+000, 0.0000000E+000, 2.0901895E-002, 0.0000000E+000,-5.9612091E-001
 1.2700494E+002, 8.9370854E+002, 0.0000000E+000,-3.3310088E+002,-4.8470642E+002,-6.8731451E+001,-4.3436745E-002, 5.3382251E-006, 0.0000000E+000, 4.3475394E+000, 7.1263614E+000, 0.0000000E+000, 2.0901895E-002, 0.0000000E+000,-5.9597718E-001
 1.2750482E+002, 8.7074419E+002, 0.0000000E+000,-3.0660354E+002,-4.9715249E+002,-6.6504037E+001,-4.2267861E-002, 3.4810684E-005, 0.0000000E+000, 3.4242633E-001, 4.4188836E-001, 0.0000000E+000, 2.0901895E-002, 0.0000000E+000,-5.9483452E-001
 1.2800587E+002, 8.5312188E+002, 0.0000000E+000,-3.2583821E+002,-4.8256466E+002,-6.9361502E+001,-4.1887500E-002,-2.5727541E-005, 0.0000000E+000,-2.4840203E+001,-2.4684413E+001, 0.0000000E+000, 2.0901895E-002, 0.0000000E+000,-5.9560747E-001
 1.2850012E+002, 9.6025142E+002, 0.0000000E+000,-3.4881940E+002,-4.9642253E+002,-7.3218788E+001,-4.0855560E-002,-7.2601943E-006, 0.0000000E+000, 4.0990512E+001, 4.1749839E+001, 0.0000000E+000, 2.0901895E-002, 0.0000000E+000,-5.9585723E-001
 1.2900706E+002, 9.6050652E+002, 0.0000000E+000,-3.4266929E+002,-4.9194405E+002,-7.5174713E+001,-4.1239089E-002, 2.0070731E-005, 0.0000000E+000, 5.2427204E+001, 5.0677259E+001, 0.0000000E+000, 2.0901895E-002, 0.0000000E+000,-5.9522583E-001
 1.2950320E+002, 8.6347289E+002, 0.0000000E+000,-3.2149967E+002,-4.6908569E+002,-6.8277077E+001,-4.1220297E-002, 3.0206658E-006, 0.0000000E+000, 2.6859592E+000, 4.5692357E+000, 0.0000000E+000, 2.0901895E-002, 0.0000000E+000,-5.9514648E-001
 1.3000652E+002, 9.4416162E+002, 0.0000000E+000,-3.3545574E+002,-5.0343998E+002,-6.5400099E+001,-4.3722295E-002,-3.9756629E-006, 0.0000000E+000, 3.9079271E+001, 3.9822079E+001, 0.0000000E+000, 2.0901895E-002, 0.0000000E+000,-5.9523197E-001
 1.3050250E+002, 8.7416410E+002, 0.0000000E+000,-3.2242003E+002,-5.0282351E+002,-6.4049956E+001,-4.4268042E-002, 6.0611457E-008, 0.0000000E+000,-1.5050471E+001,-1.5173659E+001, 0.0000000E+000, 2.0901895E-002, 0.0000000E+000,-5.9528113E-001
 1.3100163E+002, 9.0407846E+002, 0.0000000E+000,-3.2305458E+002,-5.0748341E+002,-6.5766105E+001,-4.3317058E-002,-1.0275971E-005, 0.0000000E+000, 7.1748147E+000, 7.7310394E+000, 0.0000000E+000, 2.0901895E-002, 0.0000000E+000,-5.9557636E-001
 1.3150830E+002, 9.2292523E+002, 0.0000000E+000,-3.2360422E+002,-5.0362344E+002,-6.8844187E+001,-4.4081480E-002, 2.4740297E-005, 0.0000000E+000, 2.5028534E+001, 2.6809320E+001, 0.0000000E+000, 2.0901895E-002, 0.0000000E+000,-5.9481803E-001
 1.3200427E+002, 8.8919637E+002, 0.0000000E+000,-3.1339293E+002,-5.0320047E+002,-6.9133817E+001,-4.3527710E-002,-1.4919294E-005, 0.0000000E+000, 4.7241422E+000, 3.4256120E+000, 0.0000000E+000, 2.0901895E-002, 0.0000000E+000,-5.9528125E-001
 1.3250078E+002, 8.2720181E+002, 0.0000000E+000,-3.0289671E+002,-4.8689022E+002,-6.9133811E+001,-4.0915055E-002, 1.2712665E-005, 0.0000000E+000,-3.2164779E+001,-3.1759830E+001, 0.0000000E+000, 2.0901895E-002, 0.0000000E+000,-5.9492507E-001
 1.3300716E+002, 9.2268944E+002, 0.0000000E+000,-3.2996578E+002,-5.3937193E+002,-7.0288994E+001,-4.1930566E-002,-5.6751292E-006, 0.0000000E+000,-1.8406197E+001,-1.6979202E+001, 0.0000000E+000, 2.0901895E-002, 0.0000000E+000,-5.9504670E-001
 1.3350404E+002, 9.1065815E+002, 0.0000000E+000,-3.3351179E+002,-5.0478045E+002,-7.4797104E+001,-4.1961454E-002,-1.0756963E-005, 0.0000000E+000,-1.9896956E+000,-2.4731700E+000, 0.0000000E+000, 2.0901895E-002, 0.0000000E+000,-5.9536453E-001
 1.3400607E+002, 8.7125791E+002, 0.0000000E+000,-3.2465979E+002,-4.9886668E+002,-7.9542029E+001,-4.0610651E-002, 3.5136122E-006, 0.0000000E+000,-3.0398451E+001,-3.1851191E+001, 0.0000000E+000, 2.0901895E-002, 0.0000000E+000,-5.9529504E-001
 1.3450502E+002, 8.1440706E+002, 0.0000000E+000,-3.1256634E+002,-4.4931486E+002,-7.4260109E+001,-3.9422639E-002, 1.8190451E-005, 0.0000000E+000,-2.2848224E+001,-2.1773657E+001, 0.0000000E+000, 2.0901895E-002, 0.0000000E+000,-5.9472637E-001
 1.3500368E+002, 9.8267322E+002, 0.0000000E+000,-3.4250594E+002,-4.8755284E+002,-7.1942883E+001,-4.0951142E-002,-6.7172259E-006, 0.0000000E+000, 7.8639558E+001, 8.0630608E+001, 0.0000000E+000, 2.0901895E-002, 0.0000000E+000,-5.9490946E-001
 1.3550626E+002, 8.7534573E+002, 0.0000000E+000,-3.2961184E+002,-4.7348379E+002,-7.2902495E+001,-4.1416096E-002, 4.3899156E-006, 0.0000000E+000,-1.2441420E+000,-6.9380783E-001, 0.0000000E+000, 2.0901895E-002, 0.0000000E+000,-5.9482823E-001
 1.3600232E+002, 9.2766471E+002, 0.0000000E+000,-3.3886919E+002,-5.0199689E+002,-7.4488446E+001,-4.1376875E-002,-2.0520398E-005, 0.0000000E+000, 1.1097362E+001, 1.2268789E+001, 0.0000000E+000, 2.0901895E-002, 0.0000000E+000,-5.9541676E-001
 1.3650372E+002, 8.9476869E+002, 0.0000000E+000,-3.3007036E+002,-4.9442102E+002,-7.1630390E+001,-4.1374959E-002, 1.0551606E-005, 0.0000000E+000,-1.4725589E+000,-1.3944437E+000, 0.0000000E+000, 2.0901895E-002, 0.0000000E+000,-5.9506226E-001
 1.3700555E+002, 8.7388305E+002, 0.0000000E+000,-3.3818284E+002,-4.8832791E+002,-7.0916223E+001,-4.1193317E-002,-1.0311736E-005, 0.0000000E+000,-2.4504828E+001,-2.3585133E+001, 0.0000000E+000, 2.0901895E-002, 0.0000000E+000,-5.9538899E-001
 1.3750031E+002, 9.7876171E+002, 0.0000000E+000,-3.5316899E+002,-5.2157737E+002,-7.6973957E+001,-4.2796684E-002, 2.9674857E-005, 0.0000000E+000, 2.7781935E+001, 2.6998620E+001, 0.0000000E+000, 2.0901895E-002, 0.0000000E+000,-5.9450476E-001
 1.3800572E+002, 8.9751612E+002, 0.0000000E+000,-3.3746823E+002,-5.0817669E+002,-7.5696305E+001,-4.3035652E-002,-5.7102029E-006, 0.0000000E+000,-2.3770007E+001,-2.3868143E+001, 0.0000000E+000, 2.0901895E-002, 0.0000000E+000,-5.9470005E-001
 1.3850685E+002, 8.6890780E+002, 0.0000000E+000,-3.2935799E+002,-5.1160062E+002,-7.3699783E+001,-4.1777551E-002,-2.8987396E-005, 0.0000000E+000,-4.5304374E+001,-4.5792401E+001, 0.0000000E+000, 2.0901895E-002, 0.0000000E+000,-5.9559157E-001
 1.3900420E+002, 9.3149418E+002, 0.0000000E+000,-3.4103576E+002,-5.1347965E+002,-7.0285684E+001,-4.2324391E-002, 5.8947867E-005, 0.0000000E+000, 5.4540896E+000, 6.6508203E+000, 0.0000000E+000, 2.0901895E-002, 0.0000000E+000,-5.9377037E-001
 1.3950742E+002, 9.0030514E+002, 0.0000000E+000,-3.2030422E+002,-5.0053847E+002,-7.0116459E+001,-4.1556084E-002, 4.5463591E-007, 0.0000000E+000, 8.3585120E+000, 9.3044372E+000, 0.0000000E+000, 2.0901895E-002, 0.0000000E+000,-5.9377576E-001
 1.4000352E+002, 8.8204379E+002, 0.0000000E+000,-3.2543390E+002,-5.1073213E+002,-6.9185113E+001,-4.1863586E-002,-1.7556443E-005, 0.0000000E+000,-2.3753187E+001,-2.3349234E+001, 0.0000000E+000, 2.0901895E-002, 0.0000000E+000,-5.9425673E-001
 1.4050784E+002, 8.4085153E+002, 0.0000000E+000,-3.1555903E+002,-4.9423869E+002,-7.0641444E+001,-4.1197658E-002,-1.1675647E-005, 0.0000000E+000,-3.9496264E+001,-3.9628838E+001, 0.0000000E+000, 2.0901895E-002, 0.0000000E+000,-5.9467123E-001
 1.4100076E+002, 8.9142187E+002, 0.0000000E+000,-3.3492992E+002,-4.8735584E+002,-7.1786697E+001,-4.1482147E-002, 9.7061549E-006, 0.0000000E+000,-2.8946659E+000,-2.6920590E+000, 0.0000000E+000, 2.0901895E-002, 0.0000000E+000,-5.9435442E-001
 1.4150179E+002, 9.7758593E+002, 0.0000000E+000,-3.4651770E+002,-4.8902395E+002,-7.5393144E+001,-4.3623194E-002, 5.9684105E-007, 0.0000000E+000, 6.5563862E+001, 6.6607513E+001, 0.0000000E+000, 2.0901895E-002, 0.0000000E+000,-5.9432474E-001
 1.4200687E+002, 8.5675700E+002, 0.0000000E+000,-3.2595145E+002,-4.7971573E+002,-7.3943473E+001,-4.3186925E-002, 2.4990861E-005, 0.0000000E+000,-2.2713017E+001,-2.2896812E+001, 0.0000000E+000, 2.0901895E-002, 0.0000000E+000,-5.9352642E-001
 1.4250633E+002, 9.3104087E+002, 0.0000000E+000,-3.3546887E+002,-4.8658537E+002,-7.4602484E+001,-4.3293392E-002,-2.2529951E-005, 0.0000000E+000, 3.2980802E+001, 3.4340830E+001, 0.0000000E+000, 2.0901895E-002, 0.0000000E+000,-5.9427836E-001
 1.4300060E+002, 8.9138691E+002, 0.0000000E+000,-3.3620216E+002,-4.8457976E+002,-7.3802992E+001,-4.3695409E-002,-1.7531706E-006, 0.0000000E+000,-3.4410171E+000,-3.2416969E+000, 0.0000000E+000, 2.0901895E-002, 0.0000000E+000,-5.9430864E-001
 1.4350557E+002, 8.7556544E+002, 0.0000000E+000,-3.2859926E+002,-4.6347990E+002,-7.2880429E+001,-4.1376996E-002, 5.4837861E-006, 0.0000000E+000, 8.8225346E+000, 1.0564476E+001, 0.0000000E+000, 2.0901895E-002, 0.0000000E+000,-5.9410725E-001
 1.4400652E+002, 8.9657697E+002, 0.0000000E+000,-3.3327371E+002,-4.8313822E+002,-7.1435881E+001,-4.2623347E-002, 1.1093909E-005, 0.0000000E+000, 1.0474578E+001, 8.6865401E+000, 0.0000000E+000, 2.0901895E-002, 0.0000000E+000,-5.9380418E-001
 1.4450156E+002, 9.1106416E+002, 0.0000000E+000,-3.3751729E+002,-4.8197349E+002,-7.5666738E+001,-4.0734727E-002,-1.2979367E-005, 0.0000000E+000, 1.4202164E+001, 1.5865900E+001, 0.0000000E+000, 2.0901895E-002, 0.0000000E+000,-5.9418536E-001
 1.4500584E+002, 9.2494840E+002, 0.0000000E+000,-3.4747652E+002,-4.7853563E+002,-7.7041785E+001,-4.2860664E-002, 9.5041725E-006, 0.0000000E+000, 2.2160086E+001, 2.1851615E+001, 0.0000000E+000, 2.0901895E-002, 0.0000000E+000,-5.9390624E-001
 1.4550665E+002, 8.5946067E+002, 0.0000000E+000,-3.3568670E+002,-4.5341917E+002,-7.6238950E+001,-4.1658568E-002, 1.5735400E-005, 0.0000000E+000,-6.5843840E+000,-5.9257914E+000, 0.0000000E+000, 2.0901895E-002, 0.0000000E+000,-5.9343066E-001
 1.4600507E+002, 9.3840342E+002, 0.0000000E+000,-3.4666251E+002,-4.7902881E+002,-7.2326823E+001,-4.2421407E-002, 3.6321009E-006, 0.0000000E+000, 3.8965813E+001, 4.0342863E+001, 0.0000000E+000, 2.0901895E-002, 0.0000000E+000,-5.9328995E-001
 1.4650354E+002, 8.4706642E+002, 0.0000000E+000,-3.2276171E+002,-4.9696893E+002,-7.2752653E+001,-4.1146314E-002, 1.8056440E-005, 0.0000000E+000,-4.5401235E+001,-4.5457993E+001, 0.0000000E+000, 2.0901895E-002, 0.0000000E+000,-5.9275516E-001
 1.4700450E+002, 9.4540287E+002, 0.0000000E+000,-3.4878713E+002,-5.1196494E+002,-7.0687218E+001,-4.0900843E-002,-1.2774111E-005, 0.0000000E+000, 1.3365730E+001, 1.3922671E+001, 0.0000000E+000, 2.0901895E-002, 0.0000000E+000,-5.9313507E-001
 1.4750471E+002, 8.4286913E+002, 0.0000000E+000,-3.2347143E+002,-5.1534432E+002,-7.0626971E+001,-3.8752677E-002, 9.0018285E-006, 0.0000000E+000,-6.6978888E+001,-6.6612341E+001, 0.0000000E+000, 2.0901895E-002, 0.0000000E+000,-5.9291700E-001
 1.4800235E+002, 9.7173418E+002, 0.0000000E+000,-3.4612643E+002,-5.3301506E+002,-7.0223283E+001,-4.2069296E-002, 1.0639318E-005, 0.0000000E+000, 2.1244512E+001, 2.2327347E+001, 0.0000000E+000, 2.0901895E-002, 0.0000000E+000,-5.9255763E-001
 1.4850322E+002, 9.1994883E+002, 0.0000000E+000,-3.3090358E+002,-5.3510482E+002,-7.2325430E+001,-4.2235899E-002,-6.1062943E-006, 0.0000000E+000,-1.7100462E+001,-1.8427245E+001, 0.0000000E+000, 2.0901895E-002, 0.0000000E+000,-5.9274068E-001
 1.4900087E+002, 8.4702523E+002, 0.0000000E+000,-3.2378537E+002,-5.4791999E+002,-7.1204241E+001,-4.1965886E-002,-3.9116903E-006, 0.0000000E+000,-9.8993309E+001,-9.5926350E+001, 0.0000000E+000, 2.0901895E-002, 0.0000000E+000,-5.9280196E-001
 1.4950337E+002, 8.8904709E+002, 0.0000000E+000,-3.1548459E+002,-5.1978020E+002,-6.6338283E+001,-4.2343411E-002, 2.1770185E-005, 0.0000000E+000,-1.2793481E+001,-1.2598303E+001, 0.0000000E+000, 2.0901895E-002, 0.0000000E+000,-5.9215747E-001
 1.5000000E+002, 9.8268325E+002, 0.0000000E+000,-3.3805021E+002,-5.6282204E+002,-6.7288989E+001,-4.3847444E-002,-3.1096313E-005, 0.0000000E+000, 1.4988839E+001, 1.4478138E+001, 0.0000000E+000, 2.0901895E-002, 0.0000000E+000,-5.9308913E-001
